City / Place,Accident Type,Number of Accidents,People Killed
Saharsa,construction ongoing,1,107
Kishtwar,roadway,1,5
Chaibasa,roadway,1,10
Bijnor,roadway,1,4
Barabanki,roadway,1,4
Sultanpur,roadway,1,4
Hapur,roadway,1,0
Unnao,roadway,1,0
Kurukshetra,roadway,1,0
Samastipur,roadway,1,0
Guna,roadway,1,0
Nainital,roadway,1,0
Malappuram,roadway,1,1
Balodabazar,roadway,1,0
Sakri,roadway,1,0
Sonbhadra,roadway,1,0
Leh,roadway,1,0
Wardha,roadway,1,5
Basti,roadway,1,0
Agra,roadway,1,0
Shimla,roadway,1,2
Ranchi,roadway,1,1
Fatehpur,roadway,1,0
Etah,roadway,1,1
Rampur,roadway,1,0
Bikaner,roadway,1,16
Mathura,train,1,24
Palwal,train,1,24
Kasganj,train,1,0
Damoh,train,1,0
Bokaro,train,1,0
Ahmedabad,train,1,0
Mirzapur,train,1,0
Karnal,train,1,0
Faridabad,train,1,0
Sonipat,train,1,0
West Bengal,train,1,3
Ranchi,train,1,0
Noida,train,1,0
Gonda,train,1,0
Etawah,train,1,0
Murshidabad,train,1,3
Major,train,1,3
Ghazipur,train,1,0
Katihar,train,1,0
Nagpur,train,1,2
Darbhanga,train,1,10
Bihta,train,1,0
Rishikesh,roadway,1,0
Indonesia,train,1,0
Bikaner,train,1,0
Chhindwara,aviation,1,0
Meghaninagar,aviation,1,0
Meghani Nagar,aviation,1,0
Kasganj,aviation,1,0
Aligarh,aviation,1,0
Dominica Republic,aviation,1,0
Rajasthan,aviation,1,0
Ahmedabad,industrial,1,0
Sidcul,roadway,1,4
Urla,roadway,1,3
Jalan,others,1,0
Amroha,roadway,1,0
Sidcul Auto,roadway,1,4
Raipur,roadway,1,3
Dhanbad,roadway,1,0
Korba,roadway,1,4
Bhiwadi,others,1,3
Araria,others,1,4
Dewas,industrial,1,10
Raipur,industrial,1,0
Raipur,others,1,3
Aurangabad,others,1,3
Tamil Nadu,industrial,1,16
Keralam,others,1,13
Durg,roadway,1,10
Chhattisgarh,roadway,1,17
Bahadurgarh,roadway,1,0
Hamirpur,roadway,1,10
Mathania,roadway,1,0
Araria,industrial,1,0
Indore,industrial,1,0
Qatar,others,1,13
Bhiwadi,roadway,1,10
Siwan,roadway,1,0
Aligarh,train,1,0
Nagla Patiya,others,1,0
Soron,others,1,0
Thrissur,others,1,13
Mundka,roadway,1,3
Bhairab,old structure collapse,1,0
Bhairab Daily,old structure collapse,1,0
Philippines,construction ongoing,1,0
Koira,old structure collapse,1,0
Morelganj,train,1,0
Mohammadpur,old structure collapse,1,0
Mohammadpur,roadway,1,0
Puri,train,1,0
Chamoli,construction ongoing,1,1
Bhubaneswar,train,1,0
Haldia,train,1,0
Agartala,train,1,0
Guwahati,train,1,0
Silchar,train,1,0
Assam,train,1,0
Pulkar,train,1,0
Arambagh Hooghly,roadway,1,10
Maynaguri,roadway,1,5
Chanchalya Mainaguri,roadway,1,5
Nabadwip,roadway,1,0
Kandi,roadway,1,0
Kanthi,roadway,1,0
Nayanjuli,roadway,1,0
Katihar,roadway,1,0
Iraq,roadway,1,21
Purulia,roadway,1,0
Malda,roadway,1,0
Daulatdia Ferry,port maritime,1,0
Assam,industrial,1,4
Baruipur,others,1,0
Nagpur,industrial,1,17
Provita,others,1,0
Chhattisgarh,industrial,1,3
Rajasthan,industrial,1,7
Andhra Pradesh,industrial,1,2
Moshi Pimpri,old structure collapse,1,0
Moshi,old structure collapse,1,0
Mira Road,train,1,0
Pimpri,old structure collapse,1,0
Kolhapur,old structure collapse,1,0
Mankhurd,old structure collapse,1,6
Palghar,old structure collapse,1,0
Moses,old structure collapse,1,0
Pimpri,port maritime,1,0
Ranchi,old structure collapse,1,0
Pune,port maritime,1,0
Palghar,roadway,1,12
Maldhakka Chowk,roadway,1,2
Pedestrian Fatalities,roadway,1,2
City,roadway,1,2
Chamba,old structure collapse,1,7
Nashik,train,1,1
Nepal,roadway,1,7
Chandrapur,roadway,1,40
Chhattisgarh,train,1,4
Dombivli,train,1,0
Andheri,roadway,1,0
Mankhurd,roadway,1,7
Parbhani,roadway,1,0
Sindhudurg,roadway,1,0
Panaji,roadway,1,0
Buldhana,roadway,1,0
Jalgaon,roadway,1,0
Valsad,train,1,0
Rajgad,port maritime,1,2
Dadar Plaza,roadway,1,2
London,train,1,0
Hingoli,roadway,1,0
Amravati,old structure collapse,1,2
Washim,roadway,1,0
Kolkata,old structure collapse,1,5
Eastern University,old structure collapse,1,0
Tirupur,roadway,1,6
Changi,roadway,1,0
Gangayam,roadway,1,0
Gangayam Dina,roadway,1,0
Bangalore,roadway,1,5
Thoothukudi,roadway,1,0
Villupuram,roadway,1,3
Udumalai,roadway,1,3
Tamil Nadu,train,1,0
Coimbatore,train,1,0
Thanjavur,roadway,1,0
Ampur,roadway,1,0
Namakkal,roadway,1,0
Nella,roadway,1,0
Tiruppur,roadway,1,0
Neelampur,roadway,1,0
Mayiladuthurai,roadway,1,0
Mayiladuthurai Lokal,roadway,1,0
Karur,train,1,0
Perambalur,roadway,1,0
Nakkheeran,roadway,1,7
Dinakaran,roadway,1,0
Thailand,train,1,0
Govt,roadway,1,7
Gora,roadway,1,7
Erode,train,1,0
Hyundai Mobis,roadway,1,0
Kummidipoondi,roadway,1,0
Kannikaibere,roadway,1,0
Kannikaibere Hindu,roadway,1,0
